"date","close","volume","open","high","low"
"16:00","79.75","7,065,070","80.55","80.68","79.27"
"2014/09/25","79.7500","6823166.0000","80.6800","80.6800","79.2700"
"2014/09/24","80.8400","3376968.0000","80.1400","80.8700","79.9200"
"2014/09/23","80.1200","3021255.0000","80.5200","80.5800","79.8900"
"2014/09/22","80.7100","4069156.0000","81.6800","81.8700","80.2000"
"2014/09/19","81.8100","9849929.0000","82.6400","82.7400","81.3300"
"2014/09/18","81.9700","3196708.0000","81.8500","82.0000","81.2500"
"2014/09/17","81.5100","3721612.0000","81.5500","81.8300","81.0000"
"2014/09/16","81.2000","4696482.0000","81.2300","81.5400","80.8300"
"2014/09/15","81.6100","3364510.0000","82.1000","82.1800","81.0100"
"2014/09/12","81.8400","2963129.0000","81.9700","82.0000","81.4100"
"2014/09/11","81.8200","3730171.0000","82.1600","82.5900","81.5400"
"2014/09/10","82.4700","3371191.0000","81.7300","82.6100","81.5000"
"2014/09/09","81.8400","4059528.0000","82.2700","82.5400","81.5100"
"2014/09/08","82.4000","5863946.0000","81.9200","82.7900","81.0900"
"2014/09/05","82.0400","6178100.0000","79.5400","82.1100","79.3500"
"2014/09/04","79.9200","3011427.0000","79.2000","80.2200","79.1800"
"2014/09/03","78.8200","2204829.0000","79.7900","79.8800","78.5400"
"2014/09/02","79.2800","4081803.0000","78.3500","79.5200","78.3500"
"2014/08/29","78.5500","3211480.0000","78.8500","78.9400","78.2700"
"2014/08/28","78.8200","2584563.0000","79.0200","79.2200","78.6600"
"2014/08/27","79.7200","1839672.0000","79.9900","79.9900","79.4200"
"2014/08/26","79.4800","2599158.0000","80.0300","80.1000","79.4200"
"2014/08/25","80.0100","2537209.0000","79.6000","80.3000","79.5000"
"2014/08/22","79.2900","2893437.0000","79.2500","79.7300","78.9200"
"2014/08/21","78.9400","2000914.0000","79.0400","79.4000","78.6500"
"2014/08/20","78.9100","1972107.0000","78.1900","79.0800","78.1900"
"2014/08/19","78.5100","2212033.0000","78.7100","79.0900","78.3500"
"2014/08/18","78.5500","2834287.0000","77.7300","78.6900","77.5700"
"2014/08/15","77.1300","2244961.0000","77.7200","78.0000","76.4930"
